epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.496,3.41835,5.54364,5.71923,0.00811,0.04283,0.00596,0.0015,3.30804,5.10434,7.63092,0.066894,0.000166362,0.000166362
2,127.351,2.99665,4.78581,4.40286,0.02585,0.02451,0.01598,0.00475,2.7096,4.35228,5.01966,0.033724,0.000329732,0.000329732
3,187.111,2.37272,3.69831,2.96639,0.03579,0.15667,0.03627,0.01375,1.97975,3.27636,3.29353,0.00055074,0.000489801,0.000489801
4,246.692,1.67076,2.80394,2.13039,0.06423,0.30541,0.09025,0.05392,1.38654,2.48314,2.42987,0.00048515,0.00048515,0.00048515
5,305.859,1.26549,2.35521,1.76629,0.17719,0.50345,0.192,0.12994,1.11972,2.06903,2.03968,0.0004802,0.0004802,0.0004802
6,364.969,1.10528,2.12019,1.62186,0.34531,0.55897,0.37961,0.28706,0.934,1.72174,1.81211,0.00047525,0.00047525,0.00047525
7,424.52,1.01598,1.92171,1.54251,0.35659,0.65102,0.4957,0.39216,0.83482,1.51867,1.65755,0.0004703,0.0004703,0.0004703
8,484.524,0.94199,1.77286,1.47935,0.40987,0.66043,0.56558,0.46112,0.75027,1.35822,1.52961,0.00046535,0.00046535,0.00046535
9,543.851,0.89011,1.6573,1.43398,0.56836,0.66355,0.69669,0.5833,0.6959,1.1829,1.43364,0.0004604,0.0004604,0.0004604
10,602.81,0.85911,1.54131,1.40419,0.64989,0.71626,0.76686,0.64705,0.66155,1.02431,1.39117,0.00045545,0.00045545,0.00045545
11,662.092,0.80863,1.42473,1.36354,0.70491,0.71971,0.80171,0.68217,0.63764,0.95357,1.34601,0.0004505,0.0004505,0.0004505
12,721.136,0.80926,1.36347,1.36657,0.7556,0.74669,0.8125,0.70314,0.59694,0.96971,1.29244,0.00044555,0.00044555,0.00044555
13,780.527,0.77901,1.27629,1.33892,0.78343,0.82473,0.87491,0.76163,0.59377,0.73959,1.29454,0.0004406,0.0004406,0.0004406
14,840.075,0.75546,1.18769,1.32111,0.87588,0.85976,0.94142,0.82308,0.57636,0.57714,1.25983,0.00043565,0.00043565,0.00043565
15,899.704,0.75283,1.13065,1.31954,0.91599,0.887,0.95855,0.84463,0.56043,0.50629,1.23554,0.0004307,0.0004307,0.0004307
16,959.259,0.72947,1.05919,1.2983,0.94295,0.90937,0.96928,0.85884,0.54929,0.44549,1.2246,0.00042575,0.00042575,0.00042575
17,1018.92,0.7166,0.99984,1.28396,0.88737,0.90596,0.96457,0.85519,0.53972,0.50357,1.21105,0.0004208,0.0004208,0.0004208
18,1078.24,0.70724,0.96612,1.27945,0.86807,0.92238,0.97052,0.85633,0.53539,0.49927,1.20427,0.00041585,0.00041585,0.00041585
19,1137.09,0.70023,0.93622,1.27491,0.95342,0.93021,0.98289,0.87649,0.52111,0.3817,1.18504,0.0004109,0.0004109,0.0004109
20,1196.52,0.67834,0.88575,1.25557,0.96357,0.9485,0.98311,0.88097,0.50398,0.34816,1.16113,0.00040595,0.00040595,0.00040595
21,1256.23,0.67081,0.86424,1.25339,0.948,0.95722,0.98581,0.88633,0.49782,0.33896,1.14833,0.000401,0.000401,0.000401
