epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4997,3.30158,5.44575,5.55907,0.01351,0.05899,0.01137,0.00293,3.17625,4.77168,7.4789,0.066894,0.000166362,0.000166362
2,130.438,2.94735,4.8319,4.3702,0.02378,0.17039,0.02131,0.00722,2.50787,4.04425,5.31638,0.033724,0.000329732,0.000329732
3,192.004,2.34648,3.77326,3.08097,0.0454,0.26137,0.04361,0.01918,1.93084,3.08864,3.53783,0.00055074,0.000489801,0.000489801
4,253.066,1.69658,2.79791,2.17334,0.1322,0.36359,0.13233,0.07482,1.38094,2.32019,2.47683,0.00048515,0.00048515,0.00048515
5,314.422,1.24732,2.27066,1.74992,0.25193,0.59443,0.30959,0.23133,0.9152,1.77655,1.79324,0.0004802,0.0004802,0.0004802
6,375.953,1.02533,1.98326,1.54988,0.31213,0.6183,0.45298,0.36827,0.7736,1.52569,1.57012,0.00047525,0.00047525,0.00047525
7,436.996,0.93864,1.78112,1.47423,0.49209,0.66408,0.59188,0.49513,0.7021,1.31849,1.46767,0.0004703,0.0004703,0.0004703
8,497.842,0.86622,1.60307,1.41064,0.60324,0.73555,0.72237,0.62172,0.64257,1.06563,1.35455,0.00046535,0.00046535,0.00046535
9,558.521,0.81515,1.44932,1.36749,0.69488,0.81006,0.84033,0.73388,0.59541,0.84311,1.28902,0.0004604,0.0004604,0.0004604
10,619.543,0.78278,1.29836,1.33593,0.87003,0.86617,0.91998,0.80332,0.58424,0.61942,1.26958,0.00045545,0.00045545,0.00045545
11,680.756,0.73514,1.14558,1.3018,0.91112,0.90204,0.95523,0.84532,0.56194,0.50393,1.23753,0.0004505,0.0004505,0.0004505
12,742.205,0.72781,1.05729,1.29767,0.87633,0.91214,0.9558,0.84966,0.53653,0.54888,1.20533,0.00044555,0.00044555,0.00044555
13,803.279,0.69948,0.94981,1.27349,0.93697,0.95933,0.98125,0.87893,0.51566,0.38152,1.18175,0.0004406,0.0004406,0.0004406
14,864.402,0.67395,0.85227,1.25398,0.98259,0.9586,0.98736,0.89316,0.50251,0.3234,1.16144,0.00043565,0.00043565,0.00043565
15,925.961,0.66052,0.79397,1.24415,0.98376,0.96981,0.98446,0.89257,0.49415,0.31347,1.14684,0.0004307,0.0004307,0.0004307
16,987.301,0.64284,0.70851,1.22961,0.99086,0.96777,0.98799,0.90211,0.48055,0.30255,1.13812,0.00042575,0.00042575,0.00042575
17,1048.67,0.62791,0.672,1.21283,0.9887,0.97425,0.99102,0.90931,0.47028,0.28352,1.11471,0.0004208,0.0004208,0.0004208
18,1110.05,0.61267,0.64294,1.20648,0.98974,0.97739,0.9919,0.91059,0.45687,0.26003,1.10417,0.00041585,0.00041585,0.00041585
19,1171.45,0.60996,0.60961,1.20119,0.9867,0.97781,0.99182,0.91115,0.46559,0.2698,1.11295,0.0004109,0.0004109,0.0004109
20,1233.32,0.58916,0.57466,1.18721,0.99139,0.98019,0.99254,0.91899,0.44285,0.25973,1.08111,0.00040595,0.00040595,0.00040595
21,1294.66,0.58012,0.55109,1.1814,0.99179,0.98718,0.99284,0.92216,0.43864,0.2433,1.07762,0.000401,0.000401,0.000401
22,1356.06,0.57272,0.52703,1.17022,0.99291,0.98452,0.99272,0.92393,0.43089,0.23788,1.06255,0.00039605,0.00039605,0.00039605
23,1417.27,0.5633,0.50948,1.16845,0.99172,0.98481,0.99284,0.92458,0.43046,0.23415,1.0611,0.0003911,0.0003911,0.0003911
24,1478.76,0.55463,0.4999,1.16431,0.99435,0.98414,0.99313,0.92378,0.42521,0.23171,1.05849,0.00038615,0.00038615,0.00038615
25,1540.28,0.55967,0.50676,1.16497,0.99314,0.98736,0.99272,0.92308,0.42613,0.22984,1.05371,0.0003812,0.0003812,0.0003812
26,1601.11,0.55479,0.48617,1.16054,0.99377,0.98576,0.99279,0.928,0.41675,0.22795,1.0461,0.00037625,0.00037625,0.00037625
27,1662.14,0.5441,0.47042,1.15144,0.99465,0.9869,0.99313,0.92717,0.42488,0.2306,1.05462,0.0003713,0.0003713,0.0003713
28,1723.21,0.53244,0.45367,1.14604,0.99499,0.98842,0.99322,0.9266,0.41361,0.22555,1.03572,0.00036635,0.00036635,0.00036635
29,1784.06,0.53481,0.44888,1.14001,0.99615,0.98637,0.99398,0.93051,0.40918,0.21828,1.03194,0.0003614,0.0003614,0.0003614
30,1845.13,0.53516,0.45217,1.14583,0.99464,0.98744,0.99316,0.93699,0.39839,0.21901,1.01993,0.00035645,0.00035645,0.00035645
31,1906.58,0.52609,0.43889,1.13942,0.99539,0.989,0.99347,0.9339,0.40195,0.21367,1.02287,0.0003515,0.0003515,0.0003515
32,1968.11,0.5228,0.43265,1.13283,0.99501,0.98909,0.99381,0.93378,0.40521,0.214,1.02586,0.00034655,0.00034655,0.00034655
33,2028.91,0.52569,0.42922,1.13942,0.99356,0.98944,0.99387,0.93148,0.40332,0.21454,1.02503,0.0003416,0.0003416,0.0003416
34,2090.31,0.51132,0.40961,1.12805,0.99536,0.99076,0.99386,0.93597,0.39429,0.21234,1.01446,0.00033665,0.00033665,0.00033665
35,2150.86,0.50986,0.40229,1.12561,0.996,0.9916,0.99451,0.93761,0.38981,0.2093,1.00679,0.0003317,0.0003317,0.0003317
36,2212.5,0.51009,0.4069,1.12795,0.99599,0.99043,0.99374,0.93298,0.39304,0.20831,1.01244,0.00032675,0.00032675,0.00032675
37,2273.97,0.50282,0.38896,1.12283,0.99609,0.99056,0.99377,0.93607,0.39441,0.20827,1.01364,0.0003218,0.0003218,0.0003218
38,2335.14,0.50282,0.39058,1.11655,0.99548,0.9909,0.99381,0.93398,0.3905,0.20952,1.01106,0.00031685,0.00031685,0.00031685
39,2396.37,0.4966,0.38338,1.12153,0.99653,0.99095,0.99493,0.93391,0.3914,0.20957,1.01104,0.0003119,0.0003119,0.0003119
40,2457.99,0.49138,0.37955,1.11287,0.99607,0.99022,0.994,0.93974,0.38153,0.20727,0.99699,0.00030695,0.00030695,0.00030695
41,2518.71,0.49619,0.38414,1.11896,0.99624,0.99114,0.99484,0.93483,0.38271,0.20332,0.99747,0.000302,0.000302,0.000302
42,2580.32,0.48839,0.37884,1.11139,0.99531,0.99295,0.99484,0.93984,0.37996,0.20369,0.99433,0.00029705,0.00029705,0.00029705
43,2641.35,0.49103,0.37843,1.11571,0.99686,0.98896,0.99476,0.93655,0.38483,0.20533,1.00119,0.0002921,0.0002921,0.0002921
44,2702.78,0.4928,0.37635,1.11418,0.99623,0.99165,0.9949,0.93855,0.38142,0.20687,0.99572,0.00028715,0.00028715,0.00028715
45,2764,0.49014,0.36639,1.11302,0.99649,0.99124,0.9948,0.94023,0.37832,0.20299,0.99206,0.0002822,0.0002822,0.0002822
46,2825.47,0.48266,0.36636,1.10702,0.99703,0.99086,0.9949,0.93969,0.37594,0.20175,0.99224,0.00027725,0.00027725,0.00027725
47,2886.57,0.48538,0.36305,1.10933,0.99659,0.99324,0.99487,0.94098,0.3821,0.20122,0.99737,0.0002723,0.0002723,0.0002723
48,2947.5,0.47446,0.34317,1.10241,0.99615,0.99286,0.99497,0.94232,0.37417,0.19729,0.99077,0.00026735,0.00026735,0.00026735
49,3008.56,0.48078,0.35393,1.10856,0.99729,0.99265,0.99497,0.94123,0.37307,0.19997,0.98965,0.0002624,0.0002624,0.0002624
50,3070.08,0.4837,0.35619,1.11025,0.99388,0.99492,0.99497,0.93948,0.37397,0.19933,0.98982,0.00025745,0.00025745,0.00025745
51,3131.25,0.47786,0.35697,1.10076,0.99696,0.99469,0.99477,0.93844,0.37302,0.19912,0.98826,0.0002525,0.0002525,0.0002525
52,3192.34,0.47035,0.35043,1.09962,0.9952,0.99416,0.99497,0.94056,0.37079,0.19879,0.98482,0.00024755,0.00024755,0.00024755
53,3253.55,0.47414,0.34238,1.10005,0.99622,0.99323,0.99493,0.94092,0.3689,0.19761,0.98138,0.0002426,0.0002426,0.0002426
54,3314.72,0.47642,0.346,1.10091,0.99601,0.9922,0.99482,0.93903,0.36864,0.19868,0.98212,0.00023765,0.00023765,0.00023765
55,3375.83,0.46856,0.34902,1.10065,0.9962,0.99216,0.99482,0.94398,0.36457,0.19666,0.97857,0.0002327,0.0002327,0.0002327
56,3437.19,0.46753,0.35029,1.09755,0.99582,0.99257,0.99493,0.94195,0.3724,0.19872,0.98515,0.00022775,0.00022775,0.00022775
57,3498.51,0.46423,0.34286,1.09298,0.99163,0.99714,0.99497,0.94104,0.37127,0.19915,0.98237,0.0002228,0.0002228,0.0002228
58,3559.78,0.46654,0.34062,1.09534,0.99412,0.99461,0.9949,0.93898,0.37156,0.19819,0.98266,0.00021785,0.00021785,0.00021785
59,3621.36,0.46626,0.33497,1.0944,0.99659,0.99249,0.99492,0.94273,0.36437,0.19727,0.97337,0.0002129,0.0002129,0.0002129
60,3683.14,0.46917,0.34024,1.09938,0.99648,0.99341,0.995,0.94235,0.36784,0.19751,0.97717,0.00020795,0.00020795,0.00020795
61,3743.97,0.46399,0.33365,1.09669,0.99726,0.99111,0.99497,0.94294,0.36578,0.19793,0.97723,0.000203,0.000203,0.000203
62,3804.75,0.46151,0.33783,1.08917,0.99703,0.99145,0.9949,0.94399,0.36654,0.19886,0.9775,0.00019805,0.00019805,0.00019805
63,3866.25,0.46513,0.34273,1.09406,0.99689,0.99086,0.99497,0.9435,0.36624,0.19857,0.97801,0.0001931,0.0001931,0.0001931
64,3927.48,0.45386,0.33657,1.09042,0.99703,0.99128,0.99494,0.94311,0.3689,0.19781,0.98054,0.00018815,0.00018815,0.00018815
65,3988.77,0.45795,0.32659,1.08902,0.99364,0.99527,0.99497,0.94434,0.36605,0.19806,0.97666,0.0001832,0.0001832,0.0001832
66,4049.95,0.45157,0.3282,1.0856,0.99687,0.9923,0.99493,0.94523,0.36444,0.1942,0.97567,0.00017825,0.00017825,0.00017825
67,4110.98,0.45375,0.32592,1.08728,0.9967,0.99211,0.99497,0.9465,0.36794,0.19486,0.97901,0.0001733,0.0001733,0.0001733
68,4172.36,0.4603,0.32796,1.09314,0.99379,0.99519,0.9949,0.94588,0.3626,0.19492,0.97346,0.00016835,0.00016835,0.00016835
69,4233.92,0.46048,0.32889,1.09254,0.99257,0.99701,0.99497,0.94488,0.36203,0.19381,0.97082,0.0001634,0.0001634,0.0001634
70,4294.65,0.45325,0.32947,1.08645,0.99574,0.99328,0.99479,0.94399,0.36033,0.19439,0.9694,0.00015845,0.00015845,0.00015845
71,4355.92,0.45632,0.32784,1.08762,0.99656,0.99436,0.995,0.94609,0.36017,0.19486,0.96833,0.0001535,0.0001535,0.0001535
72,4417.09,0.44995,0.32844,1.08765,0.9966,0.99278,0.99497,0.94597,0.36146,0.19422,0.97029,0.00014855,0.00014855,0.00014855
73,4478.21,0.45075,0.3226,1.08335,0.99467,0.99752,0.995,0.94731,0.35841,0.19319,0.96569,0.0001436,0.0001436,0.0001436
74,4539.39,0.4505,0.31919,1.08514,0.99607,0.99334,0.99497,0.94731,0.35898,0.19259,0.96654,0.00013865,0.00013865,0.00013865
75,4600.74,0.44814,0.31871,1.08377,0.99679,0.99435,0.99493,0.94883,0.35883,0.19257,0.96755,0.0001337,0.0001337,0.0001337
76,4662.57,0.45389,0.33108,1.08702,0.99655,0.99346,0.99479,0.94443,0.35976,0.19487,0.96795,0.00012875,0.00012875,0.00012875
77,4723.53,0.44627,0.31207,1.08342,0.9967,0.99321,0.99493,0.94627,0.36118,0.19443,0.97055,0.0001238,0.0001238,0.0001238
78,4784.84,0.44319,0.31242,1.0757,0.99606,0.9936,0.99479,0.94638,0.36106,0.19728,0.9706,0.00011885,0.00011885,0.00011885
79,4845.92,0.44159,0.31643,1.07763,0.99628,0.99361,0.99479,0.94474,0.36378,0.19479,0.97352,0.0001139,0.0001139,0.0001139
80,4907.46,0.44579,0.31262,1.0836,0.99656,0.99359,0.99497,0.94632,0.36066,0.19234,0.97062,0.00010895,0.00010895,0.00010895
81,4968.8,0.44671,0.31822,1.08404,0.99674,0.99355,0.99476,0.94699,0.36055,0.19273,0.96986,0.000104,0.000104,0.000104
82,5030.03,0.45016,0.32131,1.08917,0.99642,0.99284,0.99371,0.94584,0.36168,0.19107,0.97019,9.905e-05,9.905e-05,9.905e-05
83,5091.37,0.44289,0.31349,1.08162,0.99664,0.99317,0.99372,0.94613,0.36204,0.19337,0.9713,9.41e-05,9.41e-05,9.41e-05
84,5152.33,0.44072,0.31042,1.07873,0.99633,0.99282,0.99388,0.94607,0.36263,0.19371,0.97219,8.915e-05,8.915e-05,8.915e-05
85,5213.23,0.4351,0.29872,1.07683,0.99618,0.99244,0.9949,0.94753,0.36148,0.19113,0.96964,8.42e-05,8.42e-05,8.42e-05
86,5274.8,0.44757,0.31508,1.08379,0.99658,0.99313,0.99497,0.94622,0.35973,0.19059,0.96761,7.925e-05,7.925e-05,7.925e-05
87,5335.78,0.44177,0.32251,1.07915,0.99648,0.99314,0.99497,0.94843,0.35825,0.18989,0.96615,7.43e-05,7.43e-05,7.43e-05
88,5397.47,0.4401,0.30953,1.07938,0.99647,0.99377,0.99493,0.94991,0.35746,0.19031,0.96498,6.935e-05,6.935e-05,6.935e-05
89,5458.76,0.44064,0.30703,1.07781,0.99649,0.99359,0.99493,0.94708,0.36045,0.19119,0.96871,6.44e-05,6.44e-05,6.44e-05
90,5520.24,0.44088,0.31369,1.08,0.99626,0.99304,0.99497,0.94835,0.36049,0.19098,0.96835,5.945e-05,5.945e-05,5.945e-05
91,5582.26,0.28726,0.20072,1.03297,0.99657,0.99279,0.99476,0.94592,0.36289,0.19866,0.97302,5.45e-05,5.45e-05,5.45e-05
92,5643.28,0.28176,0.18611,1.02512,0.99601,0.99176,0.99471,0.94604,0.35956,0.19854,0.96989,4.955e-05,4.955e-05,4.955e-05
93,5704.25,0.28189,0.18946,1.02339,0.99609,0.9917,0.99468,0.9463,0.35936,0.1986,0.96895,4.46e-05,4.46e-05,4.46e-05
94,5766.72,0.27367,0.17734,1.01921,0.9962,0.99299,0.99429,0.94677,0.35799,0.19887,0.96692,3.965e-05,3.965e-05,3.965e-05
95,5828.12,0.27297,0.18058,1.02616,0.99616,0.99309,0.99427,0.94886,0.35501,0.19749,0.96212,3.47e-05,3.47e-05,3.47e-05
