epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.9793,3.27754,5.45406,5.32377,0.0081,0.04988,0.00707,0.00159,3.44421,4.80431,7.57749,0.066894,0.000166362,0.000166362
2,154.166,2.87233,4.69082,3.98196,0.02171,0.13553,0.01752,0.00463,2.84913,4.33208,5.34563,0.033724,0.000329732,0.000329732
3,217.354,2.25165,3.62741,2.82448,0.05521,0.28242,0.05968,0.02603,1.97557,3.08942,3.4249,0.00055074,0.000489801,0.000489801
4,280.116,1.54748,2.657,2.01925,0.16746,0.41518,0.20835,0.14548,1.12008,2.03862,2.09854,0.00048515,0.00048515,0.00048515
5,343.115,1.11969,2.14735,1.63997,0.34705,0.56162,0.40872,0.32089,0.83373,1.60818,1.66709,0.0004802,0.0004802,0.0004802
6,405.137,0.9475,1.87008,1.48079,0.40313,0.64743,0.55924,0.46852,0.72362,1.35843,1.48492,0.00047525,0.00047525,0.00047525
7,468.034,0.86996,1.66188,1.41322,0.58177,0.70407,0.73211,0.62606,0.65304,1.1457,1.39351,0.0004703,0.0004703,0.0004703
8,531.441,0.8055,1.44908,1.35956,0.74668,0.77798,0.8561,0.74726,0.59712,0.79688,1.3013,0.00046535,0.00046535,0.00046535
9,594.678,0.75804,1.26303,1.31799,0.77231,0.86048,0.92497,0.81362,0.56009,0.65582,1.245,0.0004604,0.0004604,0.0004604
10,658.185,0.71946,1.08166,1.28861,0.93876,0.90522,0.96961,0.86358,0.52945,0.44844,1.19737,0.00045545,0.00045545,0.00045545
11,721.089,0.68073,0.9394,1.25882,0.96575,0.95197,0.98337,0.88386,0.50791,0.3506,1.16178,0.0004505,0.0004505,0.0004505
12,784.661,0.6713,0.84578,1.25361,0.96859,0.96708,0.98802,0.89497,0.48303,0.3175,1.12963,0.00044555,0.00044555,0.00044555
13,848.019,0.64218,0.75182,1.23033,0.98823,0.97859,0.99132,0.90401,0.46226,0.27608,1.10829,0.0004406,0.0004406,0.0004406
14,910.686,0.62302,0.67813,1.21338,0.99085,0.9797,0.99254,0.90936,0.45257,0.26036,1.09384,0.00043565,0.00043565,0.00043565
15,974.01,0.60366,0.63154,1.20089,0.98651,0.98007,0.99283,0.91152,0.44891,0.26988,1.08415,0.0004307,0.0004307,0.0004307
16,1037.03,0.59138,0.57349,1.19001,0.9863,0.98301,0.99305,0.91692,0.43481,0.25133,1.06479,0.00042575,0.00042575,0.00042575
17,1100.23,0.58545,0.55163,1.17923,0.99424,0.98715,0.99364,0.92117,0.42988,0.23901,1.0609,0.0004208,0.0004208,0.0004208
18,1163.08,0.57202,0.52497,1.17421,0.99456,0.9851,0.99345,0.92303,0.42476,0.23962,1.05354,0.00041585,0.00041585,0.00041585
19,1226.25,0.57076,0.51187,1.16963,0.99551,0.98388,0.99342,0.9267,0.42199,0.23619,1.04794,0.0004109,0.0004109,0.0004109
20,1288.87,0.54994,0.48369,1.1572,0.99418,0.98731,0.99357,0.92861,0.41563,0.23224,1.04119,0.00040595,0.00040595,0.00040595
21,1352.19,0.54368,0.46557,1.15336,0.99622,0.98699,0.99375,0.9288,0.41657,0.22794,1.03936,0.000401,0.000401,0.000401
22,1415.32,0.53901,0.45364,1.14544,0.99578,0.98621,0.99405,0.92813,0.40479,0.22391,1.02421,0.00039605,0.00039605,0.00039605
23,1477.99,0.52944,0.4421,1.14158,0.99521,0.98578,0.99372,0.92542,0.41157,0.2212,1.03282,0.0003911,0.0003911,0.0003911
24,1541.15,0.52688,0.43676,1.1414,0.99278,0.99023,0.99376,0.92432,0.4107,0.22462,1.03379,0.00038615,0.00038615,0.00038615
25,1603.78,0.52861,0.44184,1.1439,0.99743,0.98793,0.99389,0.9301,0.39762,0.2183,1.0175,0.0003812,0.0003812,0.0003812
26,1666.33,0.52257,0.42217,1.13837,0.99674,0.98789,0.99423,0.93094,0.4013,0.21948,1.01873,0.00037625,0.00037625,0.00037625
27,1729.96,0.5101,0.41564,1.12677,0.99665,0.98928,0.99396,0.93356,0.40051,0.21326,1.01694,0.0003713,0.0003713,0.0003713
28,1792.71,0.50372,0.39535,1.1243,0.9974,0.98938,0.99462,0.93319,0.3888,0.21228,1.00235,0.00036635,0.00036635,0.00036635
29,1856,0.50813,0.40166,1.12027,0.99769,0.99182,0.99494,0.93593,0.3868,0.20989,0.99994,0.0003614,0.0003614,0.0003614
30,1919.42,0.50908,0.39836,1.12621,0.99733,0.99136,0.99402,0.93799,0.38007,0.20844,0.99528,0.00035645,0.00035645,0.00035645
31,1982.59,0.5023,0.39402,1.12193,0.99751,0.98984,0.99468,0.93828,0.37811,0.2056,0.99162,0.0003515,0.0003515,0.0003515
32,2045.76,0.49572,0.38263,1.11223,0.9973,0.99063,0.99497,0.9401,0.37766,0.20513,0.98861,0.00034655,0.00034655,0.00034655
33,2108.56,0.49605,0.38478,1.119,0.99636,0.99171,0.99481,0.93952,0.37703,0.20269,0.98579,0.0003416,0.0003416,0.0003416
34,2171.82,0.48746,0.36784,1.10952,0.99163,0.9912,0.9947,0.9338,0.37932,0.20664,0.98985,0.00033665,0.00033665,0.00033665
35,2233.96,0.48066,0.35796,1.10536,0.99515,0.99254,0.99493,0.94285,0.37032,0.20276,0.97947,0.0003317,0.0003317,0.0003317
36,2296.84,0.48717,0.3631,1.11088,0.99531,0.99214,0.99481,0.94011,0.36827,0.19947,0.97718,0.00032675,0.00032675,0.00032675
37,2359.55,0.47673,0.3531,1.10427,0.99552,0.99205,0.99476,0.94402,0.36647,0.19973,0.97534,0.0003218,0.0003218,0.0003218
38,2422.41,0.47627,0.35436,1.09919,0.99595,0.98881,0.99481,0.93867,0.36994,0.1999,0.98037,0.00031685,0.00031685,0.00031685
39,2485.52,0.47174,0.34946,1.10291,0.99724,0.99272,0.9949,0.94309,0.36542,0.20234,0.97611,0.0003119,0.0003119,0.0003119
40,2548.82,0.47003,0.34175,1.09744,0.99574,0.99267,0.99447,0.94136,0.36556,0.19952,0.97545,0.00030695,0.00030695,0.00030695
41,2611.69,0.47177,0.34242,1.10094,0.99604,0.99194,0.9949,0.94185,0.36737,0.19844,0.97788,0.000302,0.000302,0.000302
42,2675.13,0.46533,0.3448,1.0963,0.99173,0.99294,0.99437,0.94158,0.36354,0.19976,0.9721,0.00029705,0.00029705,0.00029705
43,2738.05,0.47011,0.34335,1.0995,0.99763,0.99242,0.99493,0.94284,0.35951,0.19625,0.96932,0.0002921,0.0002921,0.0002921
44,2800.88,0.47074,0.34111,1.0988,0.99704,0.99372,0.99493,0.94357,0.35939,0.19502,0.96838,0.00028715,0.00028715,0.00028715
45,2863.42,0.46805,0.33874,1.0979,0.99419,0.99372,0.99474,0.94616,0.36112,0.19828,0.97079,0.0002822,0.0002822,0.0002822
46,2926.18,0.46127,0.33473,1.09186,0.99635,0.99357,0.9949,0.94394,0.36015,0.19766,0.97272,0.00027725,0.00027725,0.00027725
47,2988.81,0.4619,0.32886,1.09085,0.99527,0.99577,0.99492,0.94661,0.35492,0.19486,0.96431,0.0002723,0.0002723,0.0002723
48,3051.94,0.45294,0.31543,1.08734,0.99679,0.9949,0.995,0.95019,0.35234,0.19217,0.95897,0.00026735,0.00026735,0.00026735
49,3114.66,0.45877,0.32585,1.09331,0.99707,0.9956,0.995,0.94611,0.35723,0.19485,0.96727,0.0002624,0.0002624,0.0002624
50,3177.58,0.46201,0.32382,1.09421,0.99748,0.99527,0.995,0.94595,0.3517,0.19364,0.95867,0.00025745,0.00025745,0.00025745
51,3240.44,0.45918,0.32819,1.08809,0.99236,0.99726,0.99488,0.94837,0.35086,0.19267,0.95766,0.0002525,0.0002525,0.0002525
52,3303,0.45343,0.32501,1.08547,0.99751,0.99481,0.995,0.94794,0.34816,0.19395,0.95519,0.00024755,0.00024755,0.00024755
53,3365.9,0.45377,0.31797,1.08564,0.99731,0.99563,0.995,0.94891,0.35279,0.19367,0.95987,0.0002426,0.0002426,0.0002426
54,3428.37,0.45483,0.31892,1.08623,0.99754,0.99672,0.995,0.95161,0.34891,0.18898,0.95542,0.00023765,0.00023765,0.00023765
55,3490.96,0.44557,0.31973,1.08445,0.99695,0.99572,0.99494,0.94901,0.35034,0.19079,0.95707,0.0002327,0.0002327,0.0002327
56,3553.48,0.44824,0.3224,1.08383,0.99725,0.9965,0.995,0.94731,0.35404,0.19058,0.96255,0.00022775,0.00022775,0.00022775
57,3616.19,0.44221,0.31121,1.07711,0.99744,0.99535,0.995,0.9527,0.34881,0.1907,0.95746,0.0002228,0.0002228,0.0002228
58,3678.87,0.44411,0.31224,1.07897,0.99688,0.99613,0.995,0.95242,0.34892,0.18969,0.9572,0.00021785,0.00021785,0.00021785
59,3741.55,0.44582,0.30693,1.07802,0.99715,0.99683,0.995,0.95075,0.34888,0.19107,0.95581,0.0002129,0.0002129,0.0002129
60,3804.39,0.44657,0.31109,1.08445,0.99797,0.99478,0.995,0.94845,0.35236,0.19051,0.95866,0.00020795,0.00020795,0.00020795
61,3867.36,0.44356,0.30451,1.083,0.99814,0.99472,0.995,0.94785,0.3477,0.18992,0.95639,0.000203,0.000203,0.000203
62,3930.16,0.4403,0.31131,1.07547,0.99643,0.99515,0.995,0.95004,0.34605,0.18961,0.95611,0.00019805,0.00019805,0.00019805
63,3992.88,0.44988,0.31442,1.08243,0.99614,0.99651,0.99497,0.95114,0.34463,0.19022,0.95584,0.0001931,0.0001931,0.0001931
64,4055.77,0.43468,0.30557,1.07849,0.99673,0.99681,0.995,0.94982,0.34693,0.18861,0.9567,0.00018815,0.00018815,0.00018815
65,4118.55,0.43878,0.2991,1.07522,0.99677,0.99661,0.995,0.95135,0.34802,0.1888,0.95737,0.0001832,0.0001832,0.0001832
66,4181.7,0.43304,0.30063,1.07298,0.99669,0.99708,0.995,0.95101,0.34866,0.18911,0.95678,0.00017825,0.00017825,0.00017825
67,4244.53,0.43491,0.29878,1.07448,0.99675,0.99801,0.995,0.95077,0.34904,0.18988,0.95706,0.0001733,0.0001733,0.0001733
68,4307.43,0.44058,0.29988,1.0791,0.99717,0.99733,0.995,0.95032,0.34905,0.19121,0.9579,0.00016835,0.00016835,0.00016835
69,4370.1,0.44297,0.30398,1.08101,0.99725,0.9963,0.995,0.94892,0.34855,0.19023,0.95577,0.0001634,0.0001634,0.0001634
70,4432.7,0.43839,0.30762,1.07477,0.99721,0.99644,0.995,0.94959,0.35038,0.18961,0.95883,0.00015845,0.00015845,0.00015845
71,4495.53,0.43568,0.30223,1.07228,0.99689,0.99735,0.995,0.95105,0.34647,0.186,0.95409,0.0001535,0.0001535,0.0001535
72,4558.6,0.43502,0.302,1.07628,0.99761,0.99766,0.995,0.94862,0.34701,0.1891,0.9545,0.00014855,0.00014855,0.00014855
73,4621.48,0.43162,0.29488,1.06819,0.99742,0.99577,0.99497,0.94843,0.34738,0.1861,0.95432,0.0001436,0.0001436,0.0001436
74,4684.69,0.43156,0.29589,1.0722,0.99722,0.99638,0.995,0.94866,0.34599,0.18456,0.95294,0.00013865,0.00013865,0.00013865
75,4747.82,0.42905,0.29637,1.06989,0.99732,0.9968,0.995,0.9495,0.34566,0.18606,0.95352,0.0001337,0.0001337,0.0001337
76,4811.36,0.435,0.29941,1.07361,0.99683,0.99471,0.99497,0.95038,0.34938,0.18778,0.95623,0.00012875,0.00012875,0.00012875
77,4874.62,0.42954,0.29388,1.07269,0.99707,0.99568,0.995,0.95167,0.34745,0.18745,0.95458,0.0001238,0.0001238,0.0001238
78,4937.75,0.42579,0.29125,1.06268,0.99716,0.99585,0.995,0.9505,0.34925,0.19028,0.9571,0.00011885,0.00011885,0.00011885
79,5000.5,0.42307,0.29097,1.06577,0.99715,0.99587,0.995,0.95036,0.34731,0.18833,0.95547,0.0001139,0.0001139,0.0001139
80,5063.52,0.42808,0.29337,1.0713,0.99642,0.99621,0.995,0.95176,0.34777,0.18626,0.9551,0.00010895,0.00010895,0.00010895
81,5126.41,0.42853,0.29457,1.07227,0.99676,0.99689,0.995,0.95196,0.34582,0.18711,0.95234,0.000104,0.000104,0.000104
82,5189.28,0.43188,0.29625,1.07641,0.99661,0.99756,0.995,0.95096,0.34823,0.18615,0.95501,9.905e-05,9.905e-05,9.905e-05
83,5252.67,0.42531,0.29507,1.06914,0.99687,0.99649,0.995,0.95527,0.34674,0.18658,0.95415,9.41e-05,9.41e-05,9.41e-05
84,5315.82,0.42815,0.28665,1.06932,0.99658,0.99769,0.995,0.95324,0.34688,0.18746,0.95428,8.915e-05,8.915e-05,8.915e-05
85,5378.91,0.41763,0.27648,1.06514,0.99644,0.99762,0.995,0.95305,0.34569,0.18768,0.9527,8.42e-05,8.42e-05,8.42e-05
