epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.4827,3.44389,5.62589,5.63837,0.00616,0.03213,0.00468,0.00111,3.52887,5.20254,7.63276,0.066894,0.000166362,0.000166362
2,123.792,3.02604,4.79442,4.26592,0.0093,0.09015,0.01171,0.00365,3.01231,4.57326,5.41109,0.033724,0.000329732,0.000329732
3,181.069,2.57536,3.86552,3.0718,0.03863,0.14294,0.03528,0.01486,2.01917,3.36076,3.35481,0.00055074,0.000489801,0.000489801
4,237.871,1.9386,3.06529,2.35253,0.08084,0.25383,0.09452,0.04626,1.66179,2.62016,2.81009,0.00048515,0.00048515,0.00048515
5,294.699,1.42187,2.52948,1.91396,0.11227,0.38175,0.16076,0.09749,1.33274,2.29105,2.34659,0.0004802,0.0004802,0.0004802
6,351.534,1.21489,2.24464,1.71773,0.20445,0.54302,0.29982,0.20531,1.1418,1.88138,2.095,0.00047525,0.00047525,0.00047525
7,409.249,1.11176,2.06826,1.63198,0.46874,0.50873,0.47932,0.34251,1.06043,1.62045,1.93519,0.0004703,0.0004703,0.0004703
8,466.053,1.02606,1.91893,1.55512,0.41623,0.60196,0.56109,0.42779,0.93524,1.44222,1.79894,0.00046535,0.00046535,0.00046535
9,522.72,0.98235,1.79882,1.51369,0.64594,0.6122,0.68885,0.534,0.88051,1.25526,1.70147,0.0004604,0.0004604,0.0004604
10,579.738,0.93358,1.66842,1.47086,0.63443,0.62235,0.71619,0.56767,0.81113,1.16758,1.60578,0.00045545,0.00045545,0.00045545
11,636.726,0.88499,1.54857,1.42926,0.78774,0.69465,0.79062,0.64163,0.76599,1.03466,1.53964,0.0004505,0.0004505,0.0004505
12,694.125,0.87209,1.48918,1.41977,0.72483,0.70532,0.80758,0.66099,0.72939,1.02158,1.49478,0.00044555,0.00044555,0.00044555
13,751.301,0.8412,1.40818,1.39682,0.73443,0.76423,0.8331,0.69856,0.69086,0.93565,1.42832,0.0004406,0.0004406,0.0004406
14,807.836,0.81772,1.32721,1.37324,0.88761,0.8257,0.91827,0.78282,0.65029,0.71731,1.38049,0.00043565,0.00043565,0.00043565
