epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2547.24,0.51241,0.42144,1.13002,0.99663,0.98587,0.99272,0.92958,0.40403,0.22078,1.01823,0.00029705,0.00029705,0.00029705
43,2608.43,0.5182,0.41439,1.13414,0.99649,0.98561,0.99325,0.93245,0.39382,0.21975,1.00778,0.0002921,0.0002921,0.0002921
44,2668.67,0.51933,0.41956,1.13338,0.99596,0.98885,0.99378,0.93019,0.39674,0.21823,1.01147,0.00028715,0.00028715,0.00028715
45,2728.58,0.51212,0.40382,1.12872,0.99653,0.98549,0.99358,0.93213,0.39751,0.21873,1.01487,0.0002822,0.0002822,0.0002822
46,2788.36,0.50572,0.39991,1.12382,0.99535,0.98757,0.99366,0.93024,0.39447,0.22018,1.00915,0.00027725,0.00027725,0.00027725
47,2848.21,0.51164,0.39863,1.12786,0.99584,0.9862,0.99382,0.93382,0.38651,0.21732,1.00206,0.0002723,0.0002723,0.0002723
48,2908.1,0.49888,0.38043,1.12052,0.99674,0.98863,0.99469,0.93484,0.38599,0.21574,0.99785,0.00026735,0.00026735,0.00026735
49,2968.17,0.50413,0.3946,1.12689,0.99589,0.98828,0.994,0.93331,0.38943,0.2186,1.00334,0.0002624,0.0002624,0.0002624
50,3028.05,0.50923,0.39464,1.12646,0.99623,0.99001,0.99484,0.93509,0.38474,0.21566,0.99595,0.00025745,0.00025745,0.00025745
51,3088.02,0.50048,0.3926,1.11588,0.99573,0.98785,0.99386,0.93703,0.38037,0.21388,0.99156,0.0002525,0.0002525,0.0002525
52,3148.5,0.49609,0.38109,1.11769,0.9955,0.98861,0.99395,0.93842,0.38095,0.21229,0.99311,0.00024755,0.00024755,0.00024755
53,3208.73,0.49981,0.37812,1.11851,0.99558,0.98647,0.99352,0.93552,0.38214,0.21313,0.99374,0.0002426,0.0002426,0.0002426
54,3268.93,0.49873,0.37919,1.11822,0.99595,0.98958,0.99447,0.93738,0.38043,0.21383,0.9935,0.00023765,0.00023765,0.00023765
55,3328.87,0.49088,0.38367,1.11658,0.99535,0.99071,0.99446,0.94265,0.3739,0.21146,0.98441,0.0002327,0.0002327,0.0002327
56,3389.46,0.49193,0.38489,1.11326,0.9945,0.98967,0.99406,0.94034,0.37605,0.21315,0.98692,0.00022775,0.00022775,0.00022775
57,3449.03,0.49029,0.38145,1.11282,0.99613,0.9919,0.99412,0.93957,0.37685,0.21445,0.98812,0.0002228,0.0002228,0.0002228
58,3509.33,0.49075,0.37498,1.11211,0.99597,0.98944,0.99454,0.93946,0.37853,0.21157,0.99046,0.00021785,0.00021785,0.00021785
59,3569.19,0.48991,0.3675,1.10961,0.99505,0.99058,0.99429,0.93902,0.3737,0.20822,0.98322,0.0002129,0.0002129,0.0002129
60,3629.2,0.48864,0.37122,1.11329,0.99586,0.99056,0.99413,0.93625,0.37792,0.21068,0.98891,0.00020795,0.00020795,0.00020795
61,3689.39,0.48411,0.3602,1.11153,0.99644,0.98973,0.99395,0.93887,0.37263,0.21013,0.98328,0.000203,0.000203,0.000203
62,3749.69,0.48478,0.36866,1.10628,0.99605,0.99105,0.99405,0.94169,0.36931,0.21009,0.98064,0.00019805,0.00019805,0.00019805
63,3809.86,0.49262,0.37643,1.11217,0.99563,0.99249,0.99395,0.94351,0.36544,0.20891,0.9757,0.0001931,0.0001931,0.0001931
64,3870.22,0.47737,0.36376,1.10605,0.99588,0.98969,0.99407,0.93932,0.36767,0.20923,0.97763,0.00018815,0.00018815,0.00018815
65,3930.4,0.48064,0.35661,1.10461,0.99651,0.9916,0.9939,0.94431,0.36513,0.20923,0.97388,0.0001832,0.0001832,0.0001832
66,3990.65,0.47154,0.35633,1.10101,0.99611,0.99198,0.99398,0.9415,0.36639,0.21102,0.97542,0.00017825,0.00017825,0.00017825
67,4050.33,0.47325,0.35167,1.10094,0.99649,0.99167,0.99411,0.94308,0.3666,0.21031,0.97754,0.0001733,0.0001733,0.0001733
